byline,TAG,TAG,TAG,TAG
@adamboultonSKY,M,PI,Journalism,
@AdamBienkov,M,PI,Journalism,
@chakrabortty,M,PI,Journalism,
@arusbridger,M,PI,Journalism,
@alantravis40,M,PI,Journalism,
@campbellclaret,M,PI,Writer,
@AlbertoNardelli,M,PI,Journalism,
@ajcdeane,M,PI,publicaffairs,
@WikiGuido,M,PI,Journalism,
@alextomo,M,PI,Journalism,
@sturdyAlex,M,PI,Journalism,
@_alexforrest,F,PI,Journalism,
@alexhilton,M,PI,NGO,
@alexmassie,M,PI,Journalism,
@AlexiMostrous,M,PI,Journalism,
@AliBunkallSKY,M,PI,Journalism,
@BBCAllegra,F,PI,Journalism,
@AllisterHeath,M,PI,Journalism,
@AmberSkyNews,F,PI,Journalism,
@AmbroseEP,M,PI,Journalism,
@amolrajan,M,PI,Journalism,
@toryboypierce,M,PI,Journalism,
@Andrew_Adonis,M,PI,Peer,Labour
@afneil,M,PI,Journalism,
@andrewrawnsley,M,PI,Journalism,
@Andrew_ComRes,M,PI,polling research,
@AndrewSparrow,M,PI,Journalism,
@AndyWoodcock,M,PI,Journalism,
@HPIAndyCowper,M,PI,Journalism,
@andybell5news,M,PI,Journalism,
@anntreneman,F,PI,Journalism,
@anthonyjwells,M,PI,polling research,
@SkyAnushka,F,PI,Journalism,
@archiebland,M,PI,Journalism,
@Aiannucci,M,PI,Writer,
@asabenn,M,PI,Journalism,
@BenChu_,M,PI,Journalism,
@benatipsosmori,M,PI,polling research,
@bengoldacre,M,PI,Academic,
@benshephard,M,PI,Journalism,
@benrileysmith,M,PI,Journalism,
@BethRigby,F,PI,Journalism,
@BillNeelyNBC,M,PI,Journalism,
@MayorofLondon,M,PI,Politician,
@caitlinmoran,F,PI,Journalism,
@CamCavendish,F,PI,Journalism,
@CarolineHendo,F,PI,Journalism,
@carolynquinncq,F,PI,Journalism,
@CassVinograd,F,PI,Journalism,
@CathElliott,F,PI,Blogging,
@catherine_mayer,F,PI,Writer,
@cathynewman,F,PI,Journalism,
@CharlieBeckett,M,PI,Academic,
@xtophercook,M,PI,Journalism,
@chrisshipitv,M,PI,Journalism,
@ChrisMasonBBC,M,PI,Journalism,
@chrishams,M,PI,Journalism,
@christopherhope,M,PI,Journalism,
@dr_davidson,M,PI,Academic,
@craigawoodhouse,M,PI,Journalism,
@DPMcBridge,M,PI,Civil Service (Former),
@holysmoke,M,PI,Journalism,
@damongreenITV,M,PI,Journalism,
@DPJHodges,M,PI,Journalism,
@dansabbagh,M,PI,Journalism,
@DanHannanMEP,M,PI,MEP,Conservative
@Dannythefink,M,PI,Journalism,
@D_Blanchflower,M,PI,Academic,
@DMcCaffreySKY,M,PI,Journalism,
@DaveHill,M,PI,Journalism,
@DJack_Journo,M,PI,Journalism,
@davidcornock,M,PI,Journalism,
@DAaronovitch,M,PI,Journalism,
@d_spiegel,M,PI,Academic,
@DavidPBMaddox,M,PI,Journalism,
@journodave,M,PI,Journalism,
@singersz,M,PI,Journalism,
@spikefodder,M,PI,Academic,
@DavidWooding,M,PI,Journalism,
@davidhencke,M,PI,Journalism,
@DMiliband,M,PI,NGO,
@mrdavidwhitley,M,PI,Journalism,
@davidottewell,M,PI,Journalism,
@DavidStockdale,M,PI,Politician,Labour
@JackofKent,M,PI,Law Journalism,
@BBCDomC,M,PI,Journalism,
@dhothersall,M,PI,Journalism,
@dylsharpe,M,PI,publicrelations,
@frasereC4,M,PI,Journalism,
@edwest,M,PI,Journalism,
@EdConwaySky,M,PI,Journalism,
@eddiemair,M,PI,Journalism,
@BBCEleanorG,F,PI,Journalism,
@elashton,F,PI,Journalism,
@maitlis,F,PI,Journalism,
@estheraddley,F,PI,Journalism,
@EvaWiseman,F,PI,Journalism,
@DrEvanHarris,M,PI,Politician,libdem
@EvanHD,M,PI,Journalism,
@mrevgenylebedev,M,PI,Journalism,
@faisalislam,M,PI,Journalism,
@FrankRGardner,M,PI,Journalism,
@FraserNelson,M,PI,Journalism,
@gabyhinsliff,F,PI,Journalism,
@GaryGibbonBlog,M,PI,Journalism,
@GawainTowler,M,PI,publicrelations,UKIP
@GeorgeMonbiot,M,PI,Writer,
@georgeeaton,M,PI,Journalism,
@DrGerardLyons,M,PI,Economist,
@giles_fraser,M,PI,Journalism,
@reporterboy,M,PI,Journalism,
@skygillian,F,PI,Journalism,
@glenoglaza1,M,PI,Journalism,
@Gliner,M,PI,Comedian,
@Harryslaststand,M,PI,Writer,
@hwallop,M,PI,Journalism,
@MrHarryCole,M,PI,Journalism,
@newsbrooke,F,PI,Academic,
@hopisen,M,PI,Blogging,
@BBCHughPym,M,PI,Journalism,
@hugorifkind,M,PI,Journalism,
@iainmacwhirter,M,PI,Journalism,
@iainmartin1,M,PI,Journalism,
@IainMcNicol,M,PI,Politician,Labour
@IainDale,M,PI,Journalism,
@ianbirrell,M,PI,Journalism,
@iancollinsuk,M,PI,Journalism,
@Ian_Fraser,M,PI,Journalism,
@IanDunt,M,PI,Journalism,
@traynorbrussels,M,PI,Journalism,
@iankatz1000,M,PI,Journalism,
@IsabelOakenshott,F,PI,Journalism,
@IsabelHardman,F,PI,Journalism,
@JackieAshley,F,PI,Journalism,
@Jacqui_Smith1,F,PI,publicaffairs,
